arquitecture;percent_utilization;computes;cycles;cycle_seconds;latency;area;energy;computes_per_second;computes_per_second_per_square_meter;computes_per_joule;acesses;per_component_energy;per_component_area;variables
4_neurons_4_macs_6_width;25.0;4480;1120;1e-09;1.12e-06;1.115304792e-06;1.258768e-08;4000000000.0;3586463564661166.0;355903550137.9126;;{'MACC': 2.1735168000000004e-09, 'Input_Port': 1.04384e-11, 'GlobalBuffer': 1.04037248e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.11087e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 2.3920000000000003e-11, 'inter_MACC_spatial': 4e-12, 'MACC': 4.4058720000000004e-09};Specification[variables].Variables={'version': '0.4'}
4_neurons_4_macs_16_width;25.0;4480;1120;1e-09;1.12e-06;3.37596292e-06;5.442304e-08;4000000000.0;1184847136887392.0;82318077049.72011;;{'MACC': 1.4672e-08, 'Input_Port': 1.04384e-11, 'GlobalBuffer': 3.9740601600000004e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 3.34831e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 2.3920000000000003e-11, 'inter_MACC_spatial': 4e-12, 'MACC': 2.7624e-08};Specification[variables].Variables={'version': '0.4'}
4_neurons_8_macs_4_width;21.88;4480;640;1e-09;6.4e-07;1.5191059280000001e-06;4.0366592e-09;7000000000.0;4607973592214169.0;1109828642457.6047;;{'MACC': 1.0051775999999999e-09, 'Input_Port': 1.008e-11, 'GlobalBuffer': 3.0214015999999996e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.51479e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 2.3920000000000003e-11, 'inter_MACC_spatial': 4e-12, 'MACC': 4.287008e-09};Specification[variables].Variables={'version': '0.4'}
4_neurons_8_macs_6_width;21.88;4480;640;1e-09;6.4e-07;2.396820664e-06;7.4288704e-09;7000000000.0;2920535568279797.0;603052652527.0922;;{'MACC': 2.1735168000000004e-09, 'Input_Port': 1.008e-11, 'GlobalBuffer': 5.2452735999999995e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 2.38798e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 2.3920000000000003e-11, 'inter_MACC_spatial': 4e-12, 'MACC': 8.811744000000001e-09};Specification[variables].Variables={'version': '0.4'}
4_neurons_8_macs_16_width;21.88;4480;640;1e-09;6.4e-07;7.67319692e-06;3.48246976e-08;7000000000.0;912266435096259.8;128644333152.80246;;{'MACC': 1.4672e-08, 'Input_Port': 1.008e-11, 'GlobalBuffer': 2.0142617599999998e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 7.61792e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 2.3920000000000003e-11, 'inter_MACC_spatial': 4e-12, 'MACC': 5.5248e-08};Specification[variables].Variables={'version': '0.4'}
8_neurons_2_macs_4_width;43.75;4480;640;1e-09;6.4e-07;7.36243344e-07;3.7468032e-09;7000000000.0;9507726021629066.0;1195685965038.1426;;{'MACC': 1.0051775999999999e-09, 'Input_Port': 9.79776e-11, 'GlobalBuffer': 2.643648e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 7.34043e-07, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 4.7840000000000006e-11, 'inter_MACC_spatial': 8e-12, 'MACC': 2.143504e-09};Specification[variables].Variables={'version': '0.4'}
8_neurons_2_macs_6_width;43.75;4480;640;1e-09;6.4e-07;1.115332712e-06;6.3592704e-09;7000000000.0;6276154123954359.0;704483331924.3667;;{'MACC': 2.1735168000000004e-09, 'Input_Port': 9.79776e-11, 'GlobalBuffer': 4.087776e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.11087e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 4.7840000000000006e-11, 'inter_MACC_spatial': 8e-12, 'MACC': 4.4058720000000004e-09};Specification[variables].Variables={'version': '0.4'}
8_neurons_2_macs_16_width;43.75;4480;640;1e-09;6.4e-07;3.37599084e-06;3.03180416e-08;7000000000.0;2073465341511412.2;147766800346.3654;;{'MACC': 1.4672e-08, 'Input_Port': 9.79776e-11, 'GlobalBuffer': 1.5548064e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 3.34831e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 4.7840000000000006e-11, 'inter_MACC_spatial': 8e-12, 'MACC': 2.7624e-08};Specification[variables].Variables={'version': '0.4'}
8_neurons_4_macs_4_width;87.5;4480;160;1e-09;1.6e-07;1.519133848e-06;9.8213248e-09;28000000000.0;1.843155561102342e+16;456150274146.31476;;{'MACC': 1.0051775999999999e-09, 'Input_Port': 1.21856e-11, 'GlobalBuffer': 8.8039616e-09, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 1.51479e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 4.7840000000000006e-11, 'inter_MACC_spatial': 8e-12, 'MACC': 4.287008e-09};Specification[variables].Variables={'version': '0.4'}
8_neurons_4_macs_6_width;87.5;4480;160;1e-09;1.6e-07;2.396848584e-06;1.7499507200000003e-08;28000000000.0;1.1682006192177552e+16;256007209163.00998;;{'MACC': 2.1735168000000004e-09, 'Input_Port': 1.21856e-11, 'GlobalBuffer': 1.53138048e-08, 'inter_PE_Array_spatial': 0, 'inter_MACC_spatial': 0};{'GlobalBuffer': 2.38798e-06, 'inter_PE_Array_spatial': 1e-12, 'Input_Port': 4.7840000000000006e-11, 'inter_MACC_spatial': 8e-12, 'MACC': 8.811744000000001e-09};Specification[variables].Variables={'version': '0.4'}
